Rk,Player,Pos,Age,Tm,G,MP,PER,3PAr,FTr,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,,%Game,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Salary
468,Lamar Stevens,PF,23,CLE,40,499,10.5,0.184,0.375,0,0.5,0.4,0.043,-4,0,-4,-0.3,,1,0.521,5.3,16.6,10.8,7.4,1.7,2.3,12.7,15.8,449115
469,Isaiah Stewart,C,19,DET,68,1455,16.4,0.154,0.225,1.9,2.1,4,0.132,-1.6,0.4,-1.2,0.3,,1,0.597,12,22.7,17.3,6.3,1.3,5.2,13,15.5,449115
470,Max Strus,SF,24,MIA,39,507,12.1,0.791,0.128,0.6,0.3,0.9,0.088,-0.4,-1.8,-2.2,0,,1,0.597,1.1,8,4.6,7.3,1.1,0.4,3.9,18.3,449115
471,Edmond Sumner,SG,25,IND,53,861,12.7,0.312,0.294,0.7,0.7,1.4,0.077,-2.3,-0.6,-2.9,-0.2,,1,0.626,2.3,9.5,5.9,7.9,1.8,0.9,13.8,18.3,427725
472,Jae'Sean Tate,SF,25,HOU,70,2043,13.8,0.312,0.235,2.2,1.6,3.8,0.088,-1.6,0.4,-1.2,0.4,,1,0.576,6.6,13.2,9.8,13.2,2,1.6,12.4,16.4,424544
473,Jayson Tatum,SF,22,BOS,64,2290,21.3,0.368,0.258,4.1,2.5,6.5,0.137,4.1,-0.4,3.7,3.3,,1,0.576,2.4,20.7,11.5,20.3,1.6,1.3,10.4,30.8,412202
474,Jeff Teague,PG,32,TOT,55,950,12.3,0.289,0.37,0.8,0.8,1.6,0.079,-1.7,-0.4,-2.1,0,,0.5,0.562,1.7,8.3,5.1,18.3,1.7,1.2,16.2,17.7,411639
474,Jeff Teague,PG,32,BOS,34,616,11.4,0.298,0.324,0.3,0.5,0.8,0.062,-2.4,-0.2,-2.5,-0.1,,0.3,0.542,1.8,8.6,5.2,16.2,2.1,1.1,15.4,17.7,376276
474,Jeff Teague,PG,32,MIL,21,334,14.1,0.271,0.458,0.5,0.2,0.8,0.11,-0.4,-0.9,-1.3,0.1,,0.2,0.598,1.6,7.9,4.9,22.2,1.1,1.3,17.8,17.6,375321
475,Garrett Temple,SG,34,CHI,56,1528,8.2,0.525,0.131,0.2,1.4,1.6,0.05,-3.3,-0.1,-3.5,-0.6,,1,0.525,2.1,9.4,5.8,10.5,1.4,1.7,12.6,13.1,374297
476,Tyrell Terry,PG,20,DAL,11,56,6,0.438,0.188,-0.1,0.1,-0.1,-0.049,-7.7,2.2,-5.5,-0.1,,1,0.318,0,11.7,5.9,14,4.4,0,10.4,15.3,363015
477,Daniel Theis,C,28,TOT,65,1601,15,0.326,0.236,2.4,1.8,4.3,0.128,-0.6,0.5,-0.2,0.7,,0.5,0.609,6.5,18.3,12.4,9.5,1.2,3.3,11.4,15.6,350087
477,Daniel Theis,C,28,BOS,42,1027,15,0.33,0.233,1.7,1.2,2.9,0.134,-0.5,0.7,0.2,0.6,,0.3,0.625,5.8,18.1,11.9,9.3,1.2,3.9,11.4,15,344557
477,Daniel Theis,C,28,CHI,23,574,14.9,0.32,0.242,0.7,0.7,1.4,0.116,-0.9,0.1,-0.8,0.2,,0.2,0.584,7.6,18.5,13.1,10,1.4,2.1,11.3,16.8,341481
478,Brodric Thomas,SG,24,TOT,32,399,8,0.546,0.426,-0.3,0.3,0.1,0.006,-4.7,0.1,-4.6,-0.3,,0.5,0.487,2.2,12.9,7.4,10.7,1.8,2.2,14.6,16.4,332252
478,Brodric Thomas,SG,24,HOU,4,24,7.2,0.857,1,-0.1,0,0,-0.063,-6.9,-0.5,-7.3,0,,0.1,0.496,4.3,13.9,8.9,22.7,2,3.7,28.4,24.9,289156
478,Brodric Thomas,SG,24,CLE,28,375,8,0.525,0.386,-0.2,0.3,0.1,0.01,-4.6,0.2,-4.4,-0.2,,0.4,0.487,2,12.8,7.3,9.9,1.8,2.1,13.2,15.8,279927
479,Isaiah Thomas,PG,31,NOP,3,48,2.4,0.444,0.074,-0.2,0,-0.2,-0.179,-8.1,-5.6,-13.8,-0.1,,1,0.412,2.3,6.8,4.5,15.1,1,0,17.7,29.7,267623
480,Khyri Thomas,SG,24,HOU,5,153,21.3,0.409,0.136,0.4,0.1,0.5,0.164,2,0.3,2.3,0.2,,1,0.586,4.7,8,6.3,26.9,2.8,3.5,7.9,21.1,249864
481,Matt Thomas,SG,26,TOT,45,326,9.1,0.63,0.11,0,0.2,0.2,0.031,-2.9,-2.3,-5.2,-0.3,,0.5,0.522,2.3,12.2,7.3,8.6,0.6,0,9.5,19.5,237648
481,Matt Thomas,SG,26,TOR,26,192,8.2,0.661,0.113,0,0.1,0.1,0.028,-2.2,-2.5,-4.7,-0.1,,0.3,0.545,1.7,10.7,6,6.7,0.5,0,8.4,16,217844
481,Matt Thomas,SG,26,UTA,19,134,10.5,0.6,0.108,-0.1,0.2,0.1,0.034,-3.9,-2,-6,-0.1,,0.2,0.499,3.3,14.4,9.1,11.3,0.7,0,10.5,24.5,215330
482,Tristan Thompson,PF,29,BOS,54,1287,14.2,0.009,0.368,1.5,1.4,2.9,0.107,-1.4,-1.2,-2.6,-0.2,,1,0.54,14.5,23.5,19,7.2,0.9,2.4,14.1,14.8,198040
483,Sindarius Thornwell,SG,26,TOT,21,217,6.6,0.5,0.174,-0.2,0.2,0,0.009,-5.8,0.8,-5,-0.2,,0.5,0.414,1.4,7.4,4.4,13,2.9,0.9,12.4,11.1,198040
483,Sindarius Thornwell,SG,26,NOP,14,73,4.5,0.429,0.095,-0.2,0.1,-0.1,-0.057,-6.1,0.1,-5.9,-0.1,,0.3,0.388,1.5,5.9,3.7,7,3.3,1.3,15.5,14.9,196872
483,Sindarius Thornwell,SG,26,ORL,7,144,7.7,0.56,0.24,0,0.1,0.1,0.042,-5.7,1.2,-4.5,-0.1,,0.2,0.434,1.4,8.2,4.7,16,2.7,0.6,9.8,9.2,168983
484,Matisse Thybulle,SG,23,PHI,65,1298,10.1,0.588,0.074,0.1,2.7,2.8,0.102,-2.7,4.3,1.6,1.2,,1,0.508,2.6,7.8,5.3,6.3,3.9,4.9,11.3,9.4,166111
485,Killian Tillie,C,22,MEM,18,182,8.5,0.579,0.193,0,0.2,0.2,0.055,-3.6,-0.5,-4.1,-0.1,,1,0.461,3.5,10.6,7,5.6,1.3,4,3.1,14.8,159698
